Date,County,Population,Cases,Deaths,Policies & Announcements (Texas Government)
3/3/2020,FORT BEND COUNTY,811688,0,0,None
3/4/2020,FORT BEND COUNTY,811688,0,0,None
3/5/2020,FORT BEND COUNTY,811688,1,0,None
3/6/2020,FORT BEND COUNTY,811688,0,0,None
3/7/2020,FORT BEND COUNTY,811688,2,0,None
3/8/2020,FORT BEND COUNTY,811688,3,0,None
3/9/2020,FORT BEND COUNTY,811688,0,0,None
3/10/2020,FORT BEND COUNTY,811688,0,0,None
3/11/2020,FORT BEND COUNTY,811688,0,0,None
3/12/2020,FORT BEND COUNTY,811688,0,0,None
3/13/2020,FORT BEND COUNTY,811688,3,0,None
3/14/2020,FORT BEND COUNTY,811688,0,0,None
3/15/2020,FORT BEND COUNTY,811688,0,0,None
3/16/2020,FORT BEND COUNTY,811688,0,0,None
3/17/2020,FORT BEND COUNTY,811688,0,0,The Texas Department of State Health Services confirmed the first death as a result of COVID-19.
3/18/2020,FORT BEND COUNTY,811688,3,0,None
3/19/2020,FORT BEND COUNTY,811688,7,0,"The Governor issued a series of Executive Orders to accomplish the following: Order No. 1: Prohibiting public gatherings of 10 or more people; Order No. 2: Discouraging dine-in at restaurants and bars, or visitation of gyms and massage parlors; Order No. 3: Prohibiting visitation to nursing homes, retirement homes, or long-term care facilities; Order No. 4: Closing schools."
3/20/2020,FORT BEND COUNTY,811688,5,0,"The Texas Supreme Court issued an emergency order suspending residential eviction proceedings through April 19, 2020."
3/21/2020,FORT BEND COUNTY,811688,5,0,None
3/22/2020,FORT BEND COUNTY,811688,0,0,None
3/23/2020,FORT BEND COUNTY,811688,0,0,None
3/24/2020,FORT BEND COUNTY,811688,17,0,None
3/25/2020,FORT BEND COUNTY,811688,0,0,None
3/26/2020,FORT BEND COUNTY,811688,40,0,None
3/27/2020,FORT BEND COUNTY,811688,15,1,None
3/28/2020,FORT BEND COUNTY,811688,0,0,The Department of Health and Human Services waived interview requirements for households applying for SNAP and continued benefits for existing households.
3/29/2020,FORT BEND COUNTY,811688,18,0,None
3/30/2020,FORT BEND COUNTY,811688,0,0,None
3/31/2020,FORT BEND COUNTY,811688,44,1,None
4/1/2020,FORT BEND COUNTY,811688,0,0,"The Governor and the Department of Housing and Community Affairs waived statutes related to the U.S. Department of Housing and Urban Developments HOME Investments Partnership program, granting flexible use of funds to help Texans pay their rent."
4/2/2020,FORT BEND COUNTY,811688,31,0,None
4/3/2020,FORT BEND COUNTY,811688,27,0,None
4/4/2020,FORT BEND COUNTY,811688,34,0,None
4/5/2020,FORT BEND COUNTY,811688,13,3,None
4/6/2020,FORT BEND COUNTY,811688,50,1,None
4/7/2020,FORT BEND COUNTY,811688,0,0,None
4/8/2020,FORT BEND COUNTY,811688,99,0,None
4/9/2020,FORT BEND COUNTY,811688,20,1,None
4/10/2020,FORT BEND COUNTY,811688,48,3,None
4/11/2020,FORT BEND COUNTY,811688,33,1,None
4/12/2020,FORT BEND COUNTY,811688,18,0,None
4/13/2020,FORT BEND COUNTY,811688,7,0,None
4/14/2020,FORT BEND COUNTY,811688,0,1,None
4/15/2020,FORT BEND COUNTY,811688,84,3,None
4/16/2020,FORT BEND COUNTY,811688,0,0,None
4/17/2020,FORT BEND COUNTY,811688,29,1,None
4/18/2020,FORT BEND COUNTY,811688,99,1,None
4/19/2020,FORT BEND COUNTY,811688,0,0,None
4/20/2020,FORT BEND COUNTY,811688,28,0,None
4/21/2020,FORT BEND COUNTY,811688,25,1,None
4/22/2020,FORT BEND COUNTY,811688,0,0,None
4/23/2020,FORT BEND COUNTY,811688,81,2,None
4/24/2020,FORT BEND COUNTY,811688,0,0,"The Governor and the Texas Department of Housing and Community Affairs announced that Texas will provide HOME Tenant Based Rental Assistance to Texans experiencing housing challenges, made possible by waived recently authorized by U.S. Department of Housing and Urban Development."
4/25/2020,FORT BEND COUNTY,811688,16,1,None
4/26/2020,FORT BEND COUNTY,811688,14,0,None
4/27/2020,FORT BEND COUNTY,811688,33,0,None
4/28/2020,FORT BEND COUNTY,811688,5,1,None
4/29/2020,FORT BEND COUNTY,811688,16,2,The Governor suspended certain statutes to temporarily allow for appearances before a notary public via videoconference when executing real-estate instruments such as mortgages.
4/30/2020,FORT BEND COUNTY,811688,45,0,None
5/1/2020,FORT BEND COUNTY,811688,34,2,None
5/2/2020,FORT BEND COUNTY,811688,27,0,None
5/3/2020,FORT BEND COUNTY,811688,54,1,None
5/4/2020,FORT BEND COUNTY,811688,50,1,None
5/5/2020,FORT BEND COUNTY,811688,4,0,None
5/6/2020,FORT BEND COUNTY,811688,58,2,None
5/7/2020,FORT BEND COUNTY,811688,42,2,None
5/8/2020,FORT BEND COUNTY,811688,45,1,"The Governor, the Texas Education Agency, and the Dallas Independent School District launched Operation Connectivity, a statewide initiative to deliver internet connectivity and device solutions for schools, families, and students in the transition to at-home digital learning."
5/9/2020,FORT BEND COUNTY,811688,25,3,None
5/10/2020,FORT BEND COUNTY,811688,13,0,None
5/11/2020,FORT BEND COUNTY,811688,15,2,None
5/12/2020,FORT BEND COUNTY,811688,19,2,None
5/13/2020,FORT BEND COUNTY,811688,0,0,None
5/14/2020,FORT BEND COUNTY,811688,48,0,None
5/15/2020,FORT BEND COUNTY,811688,19,0,None
5/16/2020,FORT BEND COUNTY,811688,39,0,None
5/17/2020,FORT BEND COUNTY,811688,48,0,None
5/18/2020,FORT BEND COUNTY,811688,1,0,None
5/19/2020,FORT BEND COUNTY,811688,0,0,"The Governor urged local governments to reduce the property tax burden on Texans. He also urged the passage of legislation to protect business owners, healthcare facilities and employees, and first responders from being held liable for COVID-19 exposure claims when they adhere to relevant public health guidelines."
5/20/2020,FORT BEND COUNTY,811688,62,0,None
5/21/2020,FORT BEND COUNTY,811688,31,0,None
5/22/2020,FORT BEND COUNTY,811688,0,0,"The Governor released a public service announcement, Be A Good Neighbor. Be a Good Texan, encouraging Texans to do their part to protect themselves and others by following best practices including social distancing, wearing a face mask, and washing hands regularly."
5/23/2020,FORT BEND COUNTY,811688,24,1,None
5/24/2020,FORT BEND COUNTY,811688,9,0,None
5/25/2020,FORT BEND COUNTY,811688,0,0,None
5/26/2020,FORT BEND COUNTY,811688,47,0,None
5/27/2020,FORT BEND COUNTY,811688,0,0,None
5/28/2020,FORT BEND COUNTY,811688,34,0,None
5/29/2020,FORT BEND COUNTY,811688,0,0,None
5/30/2020,FORT BEND COUNTY,811688,66,0,None
5/31/2020,FORT BEND COUNTY,811688,29,3,None
6/1/2020,FORT BEND COUNTY,811688,20,0,None
6/2/2020,FORT BEND COUNTY,811688,0,0,None
6/3/2020,FORT BEND COUNTY,811688,35,1,None
6/4/2020,FORT BEND COUNTY,811688,35,2,None
6/5/2020,FORT BEND COUNTY,811688,81,0,None
6/6/2020,FORT BEND COUNTY,811688,85,0,None
6/7/2020,FORT BEND COUNTY,811688,0,0,None
6/8/2020,FORT BEND COUNTY,811688,0,0,None
6/9/2020,FORT BEND COUNTY,811688,21,0,None
6/10/2020,FORT BEND COUNTY,811688,87,0,None
6/11/2020,FORT BEND COUNTY,811688,74,0,None
6/12/2020,FORT BEND COUNTY,811688,21,0,None
6/13/2020,FORT BEND COUNTY,811688,38,0,None
6/14/2020,FORT BEND COUNTY,811688,27,2,None
6/15/2020,FORT BEND COUNTY,811688,0,0,None
6/16/2020,FORT BEND COUNTY,811688,17,0,None
6/17/2020,FORT BEND COUNTY,811688,94,1,None
6/18/2020,FORT BEND COUNTY,811688,171,0,None
6/19/2020,FORT BEND COUNTY,811688,59,0,None
6/20/2020,FORT BEND COUNTY,811688,156,0,None
6/21/2020,FORT BEND COUNTY,811688,69,0,None
6/22/2020,FORT BEND COUNTY,811688,118,0,None
6/23/2020,FORT BEND COUNTY,811688,63,0,The Governor expanded the authority of mayors and county judges to impose restrictions on outdoor gatherings of over 100 people.
6/24/2020,FORT BEND COUNTY,811688,44,0,None
6/25/2020,FORT BEND COUNTY,811688,91,1,None
6/26/2020,FORT BEND COUNTY,811688,130,0,None
6/27/2020,FORT BEND COUNTY,811688,248,1,None
6/28/2020,FORT BEND COUNTY,811688,71,1,None
6/29/2020,FORT BEND COUNTY,811688,0,0,None
6/30/2020,FORT BEND COUNTY,811688,6,0,None
7/1/2020,FORT BEND COUNTY,811688,60,1,None
7/2/2020,FORT BEND COUNTY,811688,86,0,None
7/3/2020,FORT BEND COUNTY,811688,131,2,None
7/4/2020,FORT BEND COUNTY,811688,121,0,None
7/5/2020,FORT BEND COUNTY,811688,0,0,None
7/6/2020,FORT BEND COUNTY,811688,0,0,None
7/7/2020,FORT BEND COUNTY,811688,166,1,None
7/8/2020,FORT BEND COUNTY,811688,60,2,None
7/9/2020,FORT BEND COUNTY,811688,67,1,None
7/10/2020,FORT BEND COUNTY,811688,111,1,None
7/11/2020,FORT BEND COUNTY,811688,93,0,None
7/12/2020,FORT BEND COUNTY,811688,141,1,None
7/13/2020,FORT BEND COUNTY,811688,41,1,None
7/14/2020,FORT BEND COUNTY,811688,216,0,None
7/15/2020,FORT BEND COUNTY,811688,196,2,None
7/16/2020,FORT BEND COUNTY,811688,73,2,None
7/17/2020,FORT BEND COUNTY,811688,87,2,None
7/18/2020,FORT BEND COUNTY,811688,318,2,None
7/19/2020,FORT BEND COUNTY,811688,290,0,None
7/20/2020,FORT BEND COUNTY,811688,16,1,None
7/21/2020,FORT BEND COUNTY,811688,0,0,None
7/22/2020,FORT BEND COUNTY,811688,244,6,None
7/23/2020,FORT BEND COUNTY,811688,113,7,None
7/24/2020,FORT BEND COUNTY,811688,108,3,None
7/25/2020,FORT BEND COUNTY,811688,70,2,None
7/26/2020,FORT BEND COUNTY,811688,0,0,None
7/27/2020,FORT BEND COUNTY,811688,149,0,None
7/28/2020,FORT BEND COUNTY,811688,93,36,None
7/29/2020,FORT BEND COUNTY,811688,80,9,None
7/30/2020,FORT BEND COUNTY,811688,108,1,None
7/31/2020,FORT BEND COUNTY,811688,122,4,None
8/1/2020,FORT BEND COUNTY,811688,0,5,None
8/2/2020,FORT BEND COUNTY,811688,0,0,None
8/3/2020,FORT BEND COUNTY,811688,109,1,None
8/4/2020,FORT BEND COUNTY,811688,96,0,None
8/5/2020,FORT BEND COUNTY,811688,1272,5,None
8/6/2020,FORT BEND COUNTY,811688,319,2,None
8/7/2020,FORT BEND COUNTY,811688,273,5,None
8/8/2020,FORT BEND COUNTY,811688,382,3,None
8/9/2020,FORT BEND COUNTY,811688,0,1,None
8/10/2020,FORT BEND COUNTY,811688,488,0,None
8/11/2020,FORT BEND COUNTY,811688,314,2,None
8/12/2020,FORT BEND COUNTY,811688,152,9,None
8/13/2020,FORT BEND COUNTY,811688,336,10,None
8/14/2020,FORT BEND COUNTY,811688,546,6,None
8/15/2020,FORT BEND COUNTY,811688,859,3,None
8/16/2020,FORT BEND COUNTY,811688,0,2,None
8/17/2020,FORT BEND COUNTY,811688,395,0,None
8/18/2020,FORT BEND COUNTY,811688,411,0,None
8/19/2020,FORT BEND COUNTY,811688,571,4,None
8/20/2020,FORT BEND COUNTY,811688,83,6,None
8/21/2020,FORT BEND COUNTY,811688,106,7,None
8/22/2020,FORT BEND COUNTY,811688,240,3,None
8/23/2020,FORT BEND COUNTY,811688,0,2,None
8/24/2020,FORT BEND COUNTY,811688,606,0,None
8/25/2020,FORT BEND COUNTY,811688,5,4,None
8/26/2020,FORT BEND COUNTY,811688,116,6,None
8/27/2020,FORT BEND COUNTY,811688,0,4,None
8/28/2020,FORT BEND COUNTY,811688,84,1,None
8/29/2020,FORT BEND COUNTY,811688,88,0,None
8/30/2020,FORT BEND COUNTY,811688,0,3,None
8/31/2020,FORT BEND COUNTY,811688,24,3,None
9/1/2020,FORT BEND COUNTY,811688,26,2,None
9/2/2020,FORT BEND COUNTY,811688,53,1,None
9/3/2020,FORT BEND COUNTY,811688,45,3,None
9/4/2020,FORT BEND COUNTY,811688,19,1,None
9/5/2020,FORT BEND COUNTY,811688,44,3,None
9/6/2020,FORT BEND COUNTY,811688,0,0,None
9/7/2020,FORT BEND COUNTY,811688,0,1,None
9/8/2020,FORT BEND COUNTY,811688,14,1,None
9/9/2020,FORT BEND COUNTY,811688,91,6,None
9/10/2020,FORT BEND COUNTY,811688,82,0,None
9/11/2020,FORT BEND COUNTY,811688,21,8,None
9/12/2020,FORT BEND COUNTY,811688,71,3,None
9/13/2020,FORT BEND COUNTY,811688,0,1,None
9/14/2020,FORT BEND COUNTY,811688,48,1,None
9/15/2020,FORT BEND COUNTY,811688,28,0,None
9/16/2020,FORT BEND COUNTY,811688,126,5,None
9/17/2020,FORT BEND COUNTY,811688,53,1,None
9/18/2020,FORT BEND COUNTY,811688,56,1,None
9/19/2020,FORT BEND COUNTY,811688,55,2,None
9/20/2020,FORT BEND COUNTY,811688,0,1,None
9/21/2020,FORT BEND COUNTY,811688,25,0,None
9/22/2020,FORT BEND COUNTY,811688,94,1,None
9/23/2020,FORT BEND COUNTY,811688,141,3,None
9/24/2020,FORT BEND COUNTY,811688,53,1,None
9/25/2020,FORT BEND COUNTY,811688,65,2,Governor Abbott announced over $171 million in CARES Act funding for rental assistance and the Texas Eviction Diversion Program
9/26/2020,FORT BEND COUNTY,811688,40,2,None
9/27/2020,FORT BEND COUNTY,811688,0,1,None
9/28/2020,FORT BEND COUNTY,811688,88,0,None
9/29/2020,FORT BEND COUNTY,811688,92,0,None
9/30/2020,FORT BEND COUNTY,811688,85,2,None
10/1/2020,FORT BEND COUNTY,811688,22,2,None
10/2/2020,FORT BEND COUNTY,811688,78,0,None
10/3/2020,FORT BEND COUNTY,811688,31,0,None
10/4/2020,FORT BEND COUNTY,811688,0,1,None
10/5/2020,FORT BEND COUNTY,811688,17,1,None
10/6/2020,FORT BEND COUNTY,811688,22,1,None
10/7/2020,FORT BEND COUNTY,811688,61,0,None
10/8/2020,FORT BEND COUNTY,811688,9,0,None
10/9/2020,FORT BEND COUNTY,811688,85,0,None
10/10/2020,FORT BEND COUNTY,811688,83,0,None
10/11/2020,FORT BEND COUNTY,811688,0,0,None
10/12/2020,FORT BEND COUNTY,811688,32,0,None
10/13/2020,FORT BEND COUNTY,811688,54,2,None
10/14/2020,FORT BEND COUNTY,811688,53,6,None
10/15/2020,FORT BEND COUNTY,811688,19,0,None
10/16/2020,FORT BEND COUNTY,811688,24,0,None
10/17/2020,FORT BEND COUNTY,811688,64,0,None
10/18/2020,FORT BEND COUNTY,811688,0,0,None
10/19/2020,FORT BEND COUNTY,811688,31,0,None
10/20/2020,FORT BEND COUNTY,811688,81,0,None
10/21/2020,FORT BEND COUNTY,811688,113,0,None
10/22/2020,FORT BEND COUNTY,811688,11,0,None
10/23/2020,FORT BEND COUNTY,811688,30,2,None
10/24/2020,FORT BEND COUNTY,811688,0,1,None
10/25/2020,FORT BEND COUNTY,811688,0,0,None
10/26/2020,FORT BEND COUNTY,811688,94,0,None
10/27/2020,FORT BEND COUNTY,811688,70,1,None
10/28/2020,FORT BEND COUNTY,811688,29,1,None
10/29/2020,FORT BEND COUNTY,811688,49,1,None
10/30/2020,FORT BEND COUNTY,811688,38,0,None
10/31/2020,FORT BEND COUNTY,811688,63,0,None
11/1/2020,FORT BEND COUNTY,811688,681,1,None
11/2/2020,FORT BEND COUNTY,811688,0,1,None
11/3/2020,FORT BEND COUNTY,811688,45,0,None
11/4/2020,FORT BEND COUNTY,811688,57,1,None
11/5/2020,FORT BEND COUNTY,811688,96,1,None
11/6/2020,FORT BEND COUNTY,811688,188,3,None
11/7/2020,FORT BEND COUNTY,811688,101,1,None
11/8/2020,FORT BEND COUNTY,811688,45,0,None
11/9/2020,FORT BEND COUNTY,811688,0,1,None
11/10/2020,FORT BEND COUNTY,811688,0,0,None
11/11/2020,FORT BEND COUNTY,811688,201,0,None
11/12/2020,FORT BEND COUNTY,811688,0,1,None
11/13/2020,FORT BEND COUNTY,811688,161,0,None
11/14/2020,FORT BEND COUNTY,811688,290,3,None
11/15/2020,FORT BEND COUNTY,811688,70,0,None
11/16/2020,FORT BEND COUNTY,811688,141,0,None
11/17/2020,FORT BEND COUNTY,811688,54,0,None
11/18/2020,FORT BEND COUNTY,811688,178,0,None
11/19/2020,FORT BEND COUNTY,811688,99,2,None
11/20/2020,FORT BEND COUNTY,811688,194,0,None
11/21/2020,FORT BEND COUNTY,811688,128,1,None
11/22/2020,FORT BEND COUNTY,811688,129,0,None
11/23/2020,FORT BEND COUNTY,811688,0,0,None
11/24/2020,FORT BEND COUNTY,811688,228,2,None
11/25/2020,FORT BEND COUNTY,811688,507,2,None
11/26/2020,FORT BEND COUNTY,811688,260,2,None
11/27/2020,FORT BEND COUNTY,811688,0,0,None
11/28/2020,FORT BEND COUNTY,811688,0,1,None
11/29/2020,FORT BEND COUNTY,811688,577,0,None
11/30/2020,FORT BEND COUNTY,811688,0,1,None
12/1/2020,FORT BEND COUNTY,811688,154,2,None
12/2/2020,FORT BEND COUNTY,811688,182,1,None
12/3/2020,FORT BEND COUNTY,811688,852,3,None
12/4/2020,FORT BEND COUNTY,811688,602,2,None
12/5/2020,FORT BEND COUNTY,811688,1285,3,None
12/6/2020,FORT BEND COUNTY,811688,1636,1,None
12/7/2020,FORT BEND COUNTY,811688,0,0,None
12/8/2020,FORT BEND COUNTY,811688,657,1,None
12/9/2020,FORT BEND COUNTY,811688,473,2,None
12/10/2020,FORT BEND COUNTY,811688,1234,1,None
12/11/2020,FORT BEND COUNTY,811688,221,1,None
12/12/2020,FORT BEND COUNTY,811688,133,1,None
12/13/2020,FORT BEND COUNTY,811688,250,2,None
12/14/2020,FORT BEND COUNTY,811688,0,0,None
12/15/2020,FORT BEND COUNTY,811688,198,0,None
12/16/2020,FORT BEND COUNTY,811688,159,2,None
12/17/2020,FORT BEND COUNTY,811688,737,2,"95,000 doses of COVID-19 vaccine have been delivered to 23 different sites throughout the state of Texas. An additional 129,675 doses will be delivered to 87 sites today — bringing the total number of doses to over 224,000 across 110 providers (hospitals and medical schools) in 34 counties."
12/18/2020,FORT BEND COUNTY,811688,444,2,None
12/19/2020,FORT BEND COUNTY,811688,464,2,None
12/20/2020,FORT BEND COUNTY,811688,100,1,None
12/21/2020,FORT BEND COUNTY,811688,0,0,None
12/22/2020,FORT BEND COUNTY,811688,136,2,None
12/23/2020,FORT BEND COUNTY,811688,1317,3,None
12/24/2020,FORT BEND COUNTY,811688,586,7,None
12/25/2020,FORT BEND COUNTY,811688,0,3,None
12/26/2020,FORT BEND COUNTY,811688,0,0,None
12/27/2020,FORT BEND COUNTY,811688,0,0,None
12/28/2020,FORT BEND COUNTY,811688,0,1,None
12/29/2020,FORT BEND COUNTY,811688,508,5,None
12/30/2020,FORT BEND COUNTY,811688,1212,3,None
12/31/2020,FORT BEND COUNTY,811688,453,4,None
1/1/2021,FORT BEND COUNTY,811688,166,2,None
1/2/2021,FORT BEND COUNTY,811688,0,1,None
1/3/2021,FORT BEND COUNTY,811688,0,0,None
1/4/2021,FORT BEND COUNTY,811688,0,4,None
1/5/2021,FORT BEND COUNTY,811688,202,1,None
1/6/2021,FORT BEND COUNTY,811688,720,2,None
1/7/2021,FORT BEND COUNTY,811688,2076,2,None
1/8/2021,FORT BEND COUNTY,811688,340,7,None
1/9/2021,FORT BEND COUNTY,811688,0,0,None
1/10/2021,FORT BEND COUNTY,811688,0,2,None
1/11/2021,FORT BEND COUNTY,811688,481,2,None
1/12/2021,FORT BEND COUNTY,811688,1121,2,None
1/13/2021,FORT BEND COUNTY,811688,347,2,None
1/14/2021,FORT BEND COUNTY,811688,1165,7,None
1/15/2021,FORT BEND COUNTY,811688,886,8,None
1/16/2021,FORT BEND COUNTY,811688,0,4,None
1/17/2021,FORT BEND COUNTY,811688,0,0,None
1/18/2021,FORT BEND COUNTY,811688,405,1,None
1/19/2021,FORT BEND COUNTY,811688,1447,2,None
1/20/2021,FORT BEND COUNTY,811688,773,1,None
1/21/2021,FORT BEND COUNTY,811688,352,4,None
1/22/2021,FORT BEND COUNTY,811688,382,5,None
1/23/2021,FORT BEND COUNTY,811688,0,8,None
1/24/2021,FORT BEND COUNTY,811688,0,5,None
1/25/2021,FORT BEND COUNTY,811688,406,0,None
1/26/2021,FORT BEND COUNTY,811688,998,2,None
1/27/2021,FORT BEND COUNTY,811688,557,3,None
1/28/2021,FORT BEND COUNTY,811688,547,7,None
1/29/2021,FORT BEND COUNTY,811688,463,2,None
1/30/2021,FORT BEND COUNTY,811688,0,2,None
1/31/2021,FORT BEND COUNTY,811688,0,2,None
2/1/2021,FORT BEND COUNTY,811688,376,0,None
2/2/2021,FORT BEND COUNTY,811688,1233,6,None
2/3/2021,FORT BEND COUNTY,811688,315,7,None
2/4/2021,FORT BEND COUNTY,811688,582,5,None
2/5/2021,FORT BEND COUNTY,811688,326,2,None
2/6/2021,FORT BEND COUNTY,811688,0,4,None
2/7/2021,FORT BEND COUNTY,811688,0,2,None
2/8/2021,FORT BEND COUNTY,811688,329,1,None
2/9/2021,FORT BEND COUNTY,811688,611,2,Governor Greg Abbott today announced that the Texas Department of Housing and Community Affairs (TDHCA) has launched the Texas Rent Relief Program — the first statewide rent and utility assistance program for qualifying households throughout Texas. This program has been created to administer the more than $1 billion allocated to Texas through the latest federal COVID-19 stimulus bill
2/10/2021,FORT BEND COUNTY,811688,469,3,None
2/11/2021,FORT BEND COUNTY,811688,562,5,None
2/12/2021,FORT BEND COUNTY,811688,477,8,None
2/13/2021,FORT BEND COUNTY,811688,0,4,None
2/14/2021,FORT BEND COUNTY,811688,0,1,None
2/15/2021,FORT BEND COUNTY,811688,0,0,None
2/16/2021,FORT BEND COUNTY,811688,0,0,None
2/17/2021,FORT BEND COUNTY,811688,0,0,None
2/18/2021,FORT BEND COUNTY,811688,0,1,None
2/19/2021,FORT BEND COUNTY,811688,276,3,None
2/20/2021,FORT BEND COUNTY,811688,556,2,None
2/21/2021,FORT BEND COUNTY,811688,0,1,None
2/22/2021,FORT BEND COUNTY,811688,661,1,None
2/23/2021,FORT BEND COUNTY,811688,132,4,None
2/24/2021,FORT BEND COUNTY,811688,172,1,None
2/25/2021,FORT BEND COUNTY,811688,156,2,None
2/26/2021,FORT BEND COUNTY,811688,347,5,None
2/27/2021,FORT BEND COUNTY,811688,0,4,None
2/28/2021,FORT BEND COUNTY,811688,0,3,None
3/1/2021,FORT BEND COUNTY,811688,149,2,None
3/2/2021,FORT BEND COUNTY,811688,498,3,None
3/3/2021,FORT BEND COUNTY,811688,444,7,None
3/4/2021,FORT BEND COUNTY,811688,312,5,None
3/5/2021,FORT BEND COUNTY,811688,315,2,None
3/6/2021,FORT BEND COUNTY,811688,0,3,None
3/7/2021,FORT BEND COUNTY,811688,0,3,None
3/8/2021,FORT BEND COUNTY,811688,124,1,None
3/9/2021,FORT BEND COUNTY,811688,407,1,None
3/10/2021,FORT BEND COUNTY,811688,678,4,None
3/11/2021,FORT BEND COUNTY,811688,95,7,None
3/12/2021,FORT BEND COUNTY,811688,203,5,None
3/13/2021,FORT BEND COUNTY,811688,0,2,None
3/14/2021,FORT BEND COUNTY,811688,0,2,None
3/15/2021,FORT BEND COUNTY,811688,174,0,None
3/16/2021,FORT BEND COUNTY,811688,315,1,None
3/17/2021,FORT BEND COUNTY,811688,129,2,None
3/18/2021,FORT BEND COUNTY,811688,144,2,None
3/19/2021,FORT BEND COUNTY,811688,363,3,None
3/20/2021,FORT BEND COUNTY,811688,0,3,None
3/21/2021,FORT BEND COUNTY,811688,0,1,None
3/22/2021,FORT BEND COUNTY,811688,103,1,None
3/23/2021,FORT BEND COUNTY,811688,329,0,None
3/24/2021,FORT BEND COUNTY,811688,233,6,None
3/25/2021,FORT BEND COUNTY,811688,88,2,None
3/26/2021,FORT BEND COUNTY,811688,176,3,None
3/27/2021,FORT BEND COUNTY,811688,0,0,None
3/28/2021,FORT BEND COUNTY,811688,0,0,None
3/29/2021,FORT BEND COUNTY,811688,87,1,None
3/30/2021,FORT BEND COUNTY,811688,302,0,None
3/31/2021,FORT BEND COUNTY,811688,114,0,None
4/1/2021,FORT BEND COUNTY,811688,86,4,None
4/2/2021,FORT BEND COUNTY,811688,0,2,None
4/3/2021,FORT BEND COUNTY,811688,0,1,None
4/4/2021,FORT BEND COUNTY,811688,0,0,None
4/5/2021,FORT BEND COUNTY,811688,216,0,None
4/6/2021,FORT BEND COUNTY,811688,354,0,None
4/7/2021,FORT BEND COUNTY,811688,103,1,None
4/8/2021,FORT BEND COUNTY,811688,158,1,None
4/9/2021,FORT BEND COUNTY,811688,136,1,None
4/10/2021,FORT BEND COUNTY,811688,0,2,None
4/11/2021,FORT BEND COUNTY,811688,0,1,None
4/12/2021,FORT BEND COUNTY,811688,99,1,None
4/13/2021,FORT BEND COUNTY,811688,395,1,None
4/14/2021,FORT BEND COUNTY,811688,223,0,None
4/15/2021,FORT BEND COUNTY,811688,151,0,None
4/16/2021,FORT BEND COUNTY,811688,149,1,None
4/17/2021,FORT BEND COUNTY,811688,0,1,None
4/18/2021,FORT BEND COUNTY,811688,0,1,None
4/19/2021,FORT BEND COUNTY,811688,34,0,None
4/20/2021,FORT BEND COUNTY,811688,277,2,None
4/21/2021,FORT BEND COUNTY,811688,185,3,None
4/22/2021,FORT BEND COUNTY,811688,132,1,None
4/23/2021,FORT BEND COUNTY,811688,140,0,None
4/24/2021,FORT BEND COUNTY,811688,0,2,None
4/25/2021,FORT BEND COUNTY,811688,0,0,None
4/26/2021,FORT BEND COUNTY,811688,87,0,None
